Row;fb1_first_pos;tr_first_pos;fb2_first_pos;fb1_first_neg;tr_first_neg;fb2_first_neg;fb1_last_pos;tr_last_pos;fb2_last_pos;fb1_last_neg;tr_last_neg;fb2_last_neg
Vp1;0.7047552777353;0.698783996664611;0.727068083349297;0.694971420183483;0.699585707576795;0.711513822971265;0.716635316035385;0.714470099923032;0.767609981719719;0.716103648414261;0.703818789126486;0.742410754496779
Vp2;0.774556210128291;0.765772457419752;0.78616733299009;0.748000811658957;0.74515055104295;0.771385288994443;0.839806886814591;0.836818777114082;0.85427169629146;0.824644418588624;0.839543836913234;0.82505506112551
Vp3;0.936408425719444;0.967450685231817;0.964451895976034;0.914911932357979;0.943014390893339;0.957409102104815;0.892898306003871;0.901949559965578;0.895294696628254;0.881209037576521;0.893513350008595;0.90037175168561
Vp4;0.743070393601314;0.738097848717002;0.750662726977973;0.739657750059517;0.741347280705006;0.744548843177163;0.753947623018404;0.759915528506881;0.77903654009103;0.74802425660747;0.761651481013271;0.765238372025997
Vp5;0.792932117235751;0.813562950005312;0.820310001161611;0.7800801499428;0.794253830855204;0.789055617111457;0.806310616175003;0.801366217130382;0.820158576566184;0.784701070298712;0.769127622608261;0.790079788527294
Vp6;0.595479626432578;0.595789638288135;0.591472873017535;0.613004181862717;0.612424179332458;0.581965949758121;0.718338372331292;0.715820316993757;0.701351798372198;0.693324904988033;0.696162179972095;0.691950911406229
Vp7;0.71188566394089;NaN;0.763751547785509;0.692299482792149;NaN;0.731076371889847;0.819823363855397;NaN;0.862624524266748;0.795573241095668;NaN;0.842346803105556
Vp8;0.829716138719434;0.825592676623905;0.821382186088722;0.821540382998549;0.820273637423561;0.81607944093303;0.858065571681999;0.892625264937565;0.870616184173943;0.859023188699352;0.865041973470644;0.862710967743321
Vp9;0.671592124701512;0.692683025544025;0.684832827536391;0.664430934096088;0.670794472788526;0.667456082668365;0.687465599456619;0.681425512652048;0.678875556301062;0.671605149249586;0.669112903895149;0.661941773037124
Vp10;0.895405553627883;0.890269087239679;0.90162487374216;0.870607307773387;0.866227480618879;0.870337350267578;0.89669867768723;0.878826145790661;0.879834516385306;0.888038573341452;0.862273074286112;0.870072287581363
Vp12;0.75240573190415;0.730710686144681;0.736813197104792;0.717124175331584;0.723549182830426;0.732134677092938;0.821182820794594;0.82237478717921;0.827876451181161;0.812460314038319;0.816937879000652;0.825291281702636
Vp13;0.762758164039412;0.772355147956529;0.762500701667963;0.758778333841104;0.770722262886865;0.756559962244944;0.794548202996339;0.795913015720891;0.789982703147451;0.791035427354825;0.79074172242449;0.783149369998029
Vp14;0.833569974484897;0.835728688319967;0.84070309245047;0.813534188447031;0.826942479296916;0.820096170800008;0.814674378510612;0.850140686224728;0.8611865734713;0.767255535769552;0.818042519826823;0.816623107240074
Vp15;0.802869039778429;0.82755570529958;0.839626540552426;0.828027403873331;0.823941555343996;0.838706804750943;0.720284500575838;0.70887450891176;0.714421186266394;0.713978926723446;0.709852849482127;0.713515446979108
