"fb_first";"tr_first";"fb_last";"tr_last"
"1";0.334917052924561;-0.710771967268942;-0.480084036442214;-0.204144412823279
"2";-0.44999977756126;0.4293842352942;-0.877802850001785;-0.634471274982541
"3";-0.077823507919919;0.160167677354341;-0.098959896559278;-0.123224480612818
"4";0.0241877792400895;0.056393485382223;-0.31027672607491;-0.189683465987232
"5";0.0343529939515526;0.00533013675402901;0.0927767022330185;-0.168332323335089
"6";0.037262211690391;-0.00756550377052201;-0.235040005102548;-0.079586690140351
"7";0.0218051122861604;-0.038891311281129;0.119818393111769;-0.146081415059075
"8";0.0161633966890685;-0.042978398169106;-0.164486988943519;-0.12486772654318
"9";0.110767094471793;0.085528102517909;-0.18298535246714;-0.0798253574252715
"10";0.0847076905719625;-0.036566724320724;-0.387015449117396;-0.08310316698346
"11";0.106599451381323;-0.087699592094463;0.0154942736151364;-0.229109153596836
"12";-0.018876939284143;0.053783758386948;-0.0473266888897185;-0.097542331402511
"13";0.019822625691319;-0.0126095807209176;-0.0299805082332395;-0.0889795008176604
"14";-0.0684504086146915;-0.006892970743407;-0.387158625733435;-0.00394426225065198
